-2,-1,-3,0,1,1,3,-1,0.130642252
0,0,1,3,3,2,1,1,0.653650679
0,0,5,2,1,4,2,1,0.743495957
0,0,2,2,2,2,3,1,0.606298328
0,0,2,1,0,5,3,1,0.564057048
-3,-3,0,1,2,2,2,1,0.173949528
0,0,2,3,3,1,1,-1,0.038377898
1,0,3,1,1,3,7,1,0.172694441
1,0,-3,1,1,2,5,1,0.520678462
0,0,1,2,3,1,1,-1,0.364161723
0,0,-4,1,1,3,3,1,0.332697747
0,0,-1,3,3,2,1,1,0.400923408
0,1,11,2,0,7,1,1,0.169135901
0,0,9,1,1,4,1,1,0.323447973
1,0,2,0,0,8,8,1,0.077407
0,0,-1,3,3,1,1,1,0.292209002
-2,0,-4,0,0,5,4,1,0.97605427
0,0,-4,1,1,1,4,-1,0.14958245
-7,-7,-4,1,3,2,3,1,0.261712795
0,0,1,3,3,1,1,1,0.584013136
0,0,0,2,2,2,3,1,0.08956061
-3,-3,-7,1,2,1,2,1,0.350398871
0,0,6,3,3,2,2,1,0.934494073
0,2,2,1,2,7,7,1,0.090142945
0,0,6,3,3,3,2,1,0.848947722
-1,0,-3,3,2,2,2,1,0.124167332
0,0,2,1,1,7,7,1,0.797137879
0,0,4,3,3,2,1,1,0.632082516
0,0,4,1,1,5,3,1,0.567714103
-1,0,0,0,0,6,3,-1,0.45549298
1,0,5,2,3,4,3,-1,0.481605772
0,0,9,1,1,5,3,1,0.087306677
1,1,-1,1,0,6,7,-1,0.120649397
0,0,1,1,1,6,7,1,0.958639672
0,0,7,1,1,3,4,1,0.992903712
-1,0,-9,2,2,1,1,1,0.546054456
0,0,3,2,2,2,3,1,0.451399679
0,0,1,3,2,2,2,1,0.229052745
0,0,6,3,3,3,1,1,0.035078837
0,0,5,3,3,1,1,1,0.061915928
0,0,-6,3,3,3,4,1,0.860407285
0,0,6,2,2,4,1,-1,0.764638461
3,0,0,1,1,4,7,1,0.75451463
0,0,-1,2,1,3,2,1,0.017975549
0,0,-3,3,2,5,2,1,0.840548737
0,0,7,3,2,2,3,1,0.84675664
-1,0,-1,0,1,6,8,1,0.406771364
-2,-3,1,1,2,4,3,1,0.455928568
-1,0,-5,3,3,3,2,1,0.888697775
0,0,0,2,2,2,1,1,0.36990602
0,0,-1,3,3,1,0,1,0.171167544
0,0,-11,3,3,2,2,1,0.087333497
0,0,3,3,2,2,2,1,0.572121447
-4,-3,-3,3,3,2,3,1,0.980483615
0,2,3,0,0,7,8,1,0.975811279
0,0,-2,3,2,1,4,1,0.425683036
0,0,-1,3,3,2,1,-1,0.153589448
0,0,6,3,3,2,1,1,0.414178336
0,0,0,3,3,1,2,1,0.564599001
2,0,-1,1,2,3,2,1,0.056878343
2,4,2,1,0,2,5,1,0.52937849
0,0,1,3,3,0,1,1,0.032537046
0,0,-2,2,2,5,4,1,0.303687233
0,0,2,2,2,2,3,1,0.477045319
-3,-5,-1,1,1,3,6,1,0.685867714
-2,0,-3,0,0,4,7,-1,0.210876934
0,0,4,3,2,1,3,1,0.943439921
-1,-2,1,1,1,3,7,1,0.178966654
0,0,1,3,3,2,1,-1,0.4598302
-1,0,-1,1,0,4,2,-1,0.602775033
0,0,5,2,2,5,3,1,0.63290912
0,0,5,2,2,4,1,1,0.328578783
0,0,0,1,1,1,4,1,0.70068256
1,0,-6,0,0,3,3,-1,0.169416529
0,0,0,3,3,1,2,1,0.761385461
0,0,-5,2,2,3,6,1,0.883353409
0,0,6,3,3,3,1,1,0.065308707
0,0,1,2,2,3,3,1,0.937688863
0,0,3,2,1,8,4,-1,0.291077754
0,0,2,3,3,1,1,-1,0.768648503
0,2,3,1,2,7,5,1,0.460360159
-4,-5,-9,2,2,3,5,1,0.784760251
-1,0,4,0,0,7,8,-1,0.300418122
0,0,6,2,2,3,3,-1,0.969855605
0,0,1,1,1,6,2,1,0.669156621
1,0,8,1,1,6,3,1,0.989383358
1,2,2,2,0,3,7,1,0.125672875
0,0,-1,2,3,1,2,1,0.491252026
0,0,0,3,3,1,1,1,0.955614417
0,0,-4,2,1,1,3,1,0.800796311
0,0,-11,2,2,3,2,1,0.95825779
0,0,-4,2,1,4,1,1,0.218575036
0,0,-1,2,1,3,2,1,0.393161442
1,0,1,2,2,8,5,1,0.180527622
0,0,15,1,0,3,2,1,0.065508085
-1,0,-1,3,2,3,1,1,0.763009083
-1,0,2,0,1,4,2,-1,0.274309542
0,0,-3,0,1,7,7,1,0.387209523
1,0,-3,2,1,6,4,-1,0.771124507
-1,0,-2,0,0,7,8,1,0.672235029
1,0,5,3,3,3,1,1,0.249819582
